Survived,PassengerId,Pclass,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,person,Alone
0,76,3,25,0,0,348123,7.65,F G73,S,male,Alone
0,77,3,,0,0,349208,7.8958,,S,male,Alone
0,78,3,,0,0,374746,8.05,,S,male,Alone
1,79,2,0.83,0,2,248738,29,,S,child,With Family
1,80,3,30,0,0,364516,12.475,,S,female,Alone
0,81,3,22,0,0,345767,9,,S,male,Alone
1,82,3,29,0,0,345779,9.5,,S,male,Alone
1,83,3,,0,0,330932,7.7875,,Q,female,Alone
0,84,1,28,0,0,113059,47.1,,S,male,Alone
1,85,2,17,0,0,SO/C 14885,10.5,,S,female,Alone
1,86,3,33,3,0,3101278,15.85,,S,female,With Family
0,87,3,16,1,3,W./C. 6608,34.375,,S,male,With Family
0,88,3,,0,0,SOTON/OQ 392086,8.05,,S,male,Alone
1,89,1,23,3,2,19950,263,C23 C25 C27,S,female,With Family
0,90,3,24,0,0,343275,8.05,,S,male,Alone
0,91,3,29,0,0,343276,8.05,,S,male,Alone
0,92,3,20,0,0,347466,7.8542,,S,male,Alone
0,93,1,46,1,0,W.E.P. 5734,61.175,E31,S,male,With Family
0,94,3,26,1,2,C.A. 2315,20.575,,S,male,With Family
0,95,3,59,0,0,364500,7.25,,S,male,Alone
0,96,3,,0,0,374910,8.05,,S,male,Alone
0,97,1,71,0,0,PC 17754,34.6542,A5,C,male,Alone
1,98,1,23,0,1,PC 17759,63.3583,D10 D12,C,male,With Family
1,99,2,34,0,1,231919,23,,S,female,With Family
0,100,2,34,1,0,244367,26,,S,male,With Family
0,101,3,28,0,0,349245,7.8958,,S,female,Alone
0,102,3,,0,0,349215,7.8958,,S,male,Alone
0,103,1,21,0,1,35281,77.2875,D26,S,male,With Family
0,104,3,33,0,0,7540,8.6542,,S,male,Alone
0,105,3,37,2,0,3101276,7.925,,S,male,With Family
0,106,3,28,0,0,349207,7.8958,,S,male,Alone
1,107,3,21,0,0,343120,7.65,,S,female,Alone
1,108,3,,0,0,312991,7.775,,S,male,Alone
0,109,3,38,0,0,349249,7.8958,,S,male,Alone
1,110,3,,1,0,371110,24.15,,Q,female,With Family
0,111,1,47,0,0,110465,52,C110,S,male,Alone
0,112,3,14.5,1,0,2665,14.4542,,C,child,With Family
0,113,3,22,0,0,324669,8.05,,S,male,Alone
0,114,3,20,1,0,4136,9.825,,S,female,With Family
0,115,3,17,0,0,2627,14.4583,,C,female,Alone
0,116,3,21,0,0,STON/O 2. 3101294,7.925,,S,male,Alone
0,117,3,70.5,0,0,370369,7.75,,Q,male,Alone
0,118,2,29,1,0,11668,21,,S,male,With Family
0,119,1,24,0,1,PC 17558,247.5208,B58 B60,C,male,With Family
0,120,3,2,4,2,347082,31.275,,S,child,With Family
0,121,2,21,2,0,S.O.C. 14879,73.5,,S,male,With Family
0,122,3,,0,0,A4. 54510,8.05,,S,male,Alone
0,123,2,32.5,1,0,237736,30.0708,,C,male,With Family
1,124,2,32.5,0,0,27267,13,E101,S,female,Alone
0,125,1,54,0,1,35281,77.2875,D26,S,male,With Family
1,126,3,12,1,0,2651,11.2417,,C,child,With Family
0,127,3,,0,0,370372,7.75,,Q,male,Alone
1,128,3,24,0,0,C 17369,7.1417,,S,male,Alone
1,129,3,,1,1,2668,22.3583,F E69,C,female,With Family
0,130,3,45,0,0,347061,6.975,,S,male,Alone
0,131,3,33,0,0,349241,7.8958,,C,male,Alone
0,132,3,20,0,0,SOTON/O.Q. 3101307,7.05,,S,male,Alone
0,133,3,47,1,0,A/5. 3337,14.5,,S,female,With Family
1,134,2,29,1,0,228414,26,,S,female,With Family
0,135,2,25,0,0,C.A. 29178,13,,S,male,Alone
0,136,2,23,0,0,SC/PARIS 2133,15.0458,,C,male,Alone
1,137,1,19,0,2,11752,26.2833,D47,S,female,With Family
0,138,1,37,1,0,113803,53.1,C123,S,male,With Family
0,139,3,16,0,0,7534,9.2167,,S,male,Alone
0,140,1,24,0,0,PC 17593,79.2,B86,C,male,Alone
0,141,3,,0,2,2678,15.2458,,C,female,With Family
1,142,3,22,0,0,347081,7.75,,S,female,Alone
1,143,3,24,1,0,STON/O2. 3101279,15.85,,S,female,With Family
0,144,3,19,0,0,365222,6.75,,Q,male,Alone
0,145,2,18,0,0,231945,11.5,,S,male,Alone
0,146,2,19,1,1,C.A. 33112,36.75,,S,male,With Family
1,147,3,27,0,0,350043,7.7958,,S,male,Alone
0,148,3,9,2,2,W./C. 6608,34.375,,S,child,With Family
0,149,2,36.5,0,2,230080,26,F2,S,male,With Family
0,150,2,42,0,0,244310,13,,S,male,Alone
0,151,2,51,0,0,S.O.P. 1166,12.525,,S,male,Alone
1,152,1,22,1,0,113776,66.6,C2,S,female,With Family
0,153,3,55.5,0,0,A.5. 11206,8.05,,S,male,Alone
0,154,3,40.5,0,2,A/5. 851,14.5,,S,male,With Family
0,155,3,,0,0,Fa 265302,7.3125,,S,male,Alone
0,156,1,51,0,1,PC 17597,61.3792,,C,male,With Family
1,157,3,16,0,0,35851,7.7333,,Q,female,Alone
0,158,3,30,0,0,SOTON/OQ 392090,8.05,,S,male,Alone
0,159,3,,0,0,315037,8.6625,,S,male,Alone
0,160,3,,8,2,CA. 2343,69.55,,S,male,With Family
0,161,3,44,0,1,371362,16.1,,S,male,With Family
1,162,2,40,0,0,C.A. 33595,15.75,,S,female,Alone
0,163,3,26,0,0,347068,7.775,,S,male,Alone
0,164,3,17,0,0,315093,8.6625,,S,male,Alone
0,165,3,1,4,1,3101295,39.6875,,S,child,With Family
1,166,3,9,0,2,363291,20.525,,S,child,With Family
1,167,1,,0,1,113505,55,E33,S,female,With Family
0,168,3,45,1,4,347088,27.9,,S,female,With Family
0,169,1,,0,0,PC 17318,25.925,,S,male,Alone
0,170,3,28,0,0,1601,56.4958,,S,male,Alone
0,171,1,61,0,0,111240,33.5,B19,S,male,Alone
0,172,3,4,4,1,382652,29.125,,Q,child,With Family
1,173,3,1,1,1,347742,11.1333,,S,child,With Family
0,174,3,21,0,0,STON/O 2. 3101280,7.925,,S,male,Alone
0,175,1,56,0,0,17764,30.6958,A7,C,male,Alone
0,176,3,18,1,1,350404,7.8542,,S,male,With Family
0,177,3,,3,1,4133,25.4667,,S,male,With Family
0,178,1,50,0,0,PC 17595,28.7125,C49,C,female,Alone
0,179,2,30,0,0,250653,13,,S,male,Alone
0,180,3,36,0,0,LINE,0,,S,male,Alone
0,181,3,,8,2,CA. 2343,69.55,,S,female,With Family
0,182,2,,0,0,SC/PARIS 2131,15.05,,C,male,Alone
0,183,3,9,4,2,347077,31.3875,,S,child,With Family
1,184,2,1,2,1,230136,39,F4,S,child,With Family
1,185,3,4,0,2,315153,22.025,,S,child,With Family
0,186,1,,0,0,113767,50,A32,S,male,Alone
1,187,3,,1,0,370365,15.5,,Q,female,With Family
1,188,1,45,0,0,111428,26.55,,S,male,Alone
0,189,3,40,1,1,364849,15.5,,Q,male,With Family
0,190,3,36,0,0,349247,7.8958,,S,male,Alone
1,191,2,32,0,0,234604,13,,S,female,Alone
0,192,2,19,0,0,28424,13,,S,male,Alone
1,193,3,19,1,0,350046,7.8542,,S,female,With Family
1,194,2,3,1,1,230080,26,F2,S,child,With Family
1,195,1,44,0,0,PC 17610,27.7208,B4,C,female,Alone
1,196,1,58,0,0,PC 17569,146.5208,B80,C,female,Alone
0,197,3,,0,0,368703,7.75,,Q,male,Alone
0,198,3,42,0,1,4579,8.4042,,S,male,With Family
1,199,3,,0,0,370370,7.75,,Q,female,Alone
0,200,2,24,0,0,248747,13,,S,female,Alone
0,201,3,28,0,0,345770,9.5,,S,male,Alone
0,202,3,,8,2,CA. 2343,69.55,,S,male,With Family
0,203,3,34,0,0,3101264,6.4958,,S,male,Alone
0,204,3,45.5,0,0,2628,7.225,,C,male,Alone
1,205,3,18,0,0,A/5 3540,8.05,,S,male,Alone
0,206,3,2,0,1,347054,10.4625,G6,S,child,With Family
0,207,3,32,1,0,3101278,15.85,,S,male,With Family
1,208,3,26,0,0,2699,18.7875,,C,male,Alone
1,209,3,16,0,0,367231,7.75,,Q,female,Alone
1,210,1,40,0,0,112277,31,A31,C,male,Alone
0,211,3,24,0,0,SOTON/O.Q. 3101311,7.05,,S,male,Alone
1,212,2,35,0,0,F.C.C. 13528,21,,S,female,Alone
0,213,3,22,0,0,A/5 21174,7.25,,S,male,Alone
0,214,2,30,0,0,250646,13,,S,male,Alone
0,215,3,,1,0,367229,7.75,,Q,male,With Family
1,216,1,31,1,0,35273,113.275,D36,C,female,With Family
1,217,3,27,0,0,STON/O2. 3101283,7.925,,S,female,Alone
0,218,2,42,1,0,243847,27,,S,male,With Family
1,219,1,32,0,0,11813,76.2917,D15,C,female,Alone
0,220,2,30,0,0,W/C 14208,10.5,,S,male,Alone
1,221,3,16,0,0,SOTON/OQ 392089,8.05,,S,male,Alone
0,222,2,27,0,0,220367,13,,S,male,Alone
0,223,3,51,0,0,21440,8.05,,S,male,Alone
0,224,3,,0,0,349234,7.8958,,S,male,Alone
1,225,1,38,1,0,19943,90,C93,S,male,With Family
0,226,3,22,0,0,PP 4348,9.35,,S,male,Alone
1,227,2,19,0,0,SW/PP 751,10.5,,S,male,Alone
0,228,3,20.5,0,0,A/5 21173,7.25,,S,male,Alone
0,229,2,18,0,0,236171,13,,S,male,Alone
0,230,3,,3,1,4133,25.4667,,S,female,With Family
1,231,1,35,1,0,36973,83.475,C83,S,female,With Family
0,232,3,29,0,0,347067,7.775,,S,male,Alone
0,233,2,59,0,0,237442,13.5,,S,male,Alone
1,234,3,5,4,2,347077,31.3875,,S,child,With Family
0,235,2,24,0,0,C.A. 29566,10.5,,S,male,Alone
0,236,3,,0,0,W./C. 6609,7.55,,S,female,Alone
0,237,2,44,1,0,26707,26,,S,male,With Family
1,238,2,8,0,2,C.A. 31921,26.25,,S,child,With Family
0,239,2,19,0,0,28665,10.5,,S,male,Alone
0,240,2,33,0,0,SCO/W 1585,12.275,,S,male,Alone
0,241,3,,1,0,2665,14.4542,,C,female,With Family
1,242,3,,1,0,367230,15.5,,Q,female,With Family
0,243,2,29,0,0,W./C. 14263,10.5,,S,male,Alone
0,244,3,22,0,0,STON/O 2. 3101275,7.125,,S,male,Alone
0,245,3,30,0,0,2694,7.225,,C,male,Alone
0,246,1,44,2,0,19928,90,C78,Q,male,With Family
0,247,3,25,0,0,347071,7.775,,S,female,Alone
1,248,2,24,0,2,250649,14.5,,S,female,With Family
1,249,1,37,1,1,11751,52.5542,D35,S,male,With Family
0,250,2,54,1,0,244252,26,,S,male,With Family
0,251,3,,0,0,362316,7.25,,S,male,Alone
0,252,3,29,1,1,347054,10.4625,G6,S,female,With Family
0,253,1,62,0,0,113514,26.55,C87,S,male,Alone
0,254,3,30,1,0,A/5. 3336,16.1,,S,male,With Family
0,255,3,41,0,2,370129,20.2125,,S,female,With Family
1,256,3,29,0,2,2650,15.2458,,C,female,With Family
1,257,1,,0,0,PC 17585,79.2,,C,female,Alone
1,258,1,30,0,0,110152,86.5,B77,S,female,Alone
1,259,1,35,0,0,PC 17755,512.3292,,C,female,Alone
1,260,2,50,0,1,230433,26,,S,female,With Family
0,261,3,,0,0,384461,7.75,,Q,male,Alone
1,262,3,3,4,2,347077,31.3875,,S,child,With Family
0,263,1,52,1,1,110413,79.65,E67,S,male,With Family
0,264,1,40,0,0,112059,0,B94,S,male,Alone
0,265,3,,0,0,382649,7.75,,Q,female,Alone
0,266,2,36,0,0,C.A. 17248,10.5,,S,male,Alone
0,267,3,16,4,1,3101295,39.6875,,S,male,With Family
1,268,3,25,1,0,347083,7.775,,S,male,With Family
1,269,1,58,0,1,PC 17582,153.4625,C125,S,female,With Family
1,270,1,35,0,0,PC 17760,135.6333,C99,S,female,Alone
0,271,1,,0,0,113798,31,,S,male,Alone
1,272,3,25,0,0,LINE,0,,S,male,Alone
1,273,2,41,0,1,250644,19.5,,S,female,With Family
0,274,1,37,0,1,PC 17596,29.7,C118,C,male,With Family
1,275,3,,0,0,370375,7.75,,Q,female,Alone
1,276,1,63,1,0,13502,77.9583,D7,S,female,With Family
0,277,3,45,0,0,347073,7.75,,S,female,Alone
0,278,2,,0,0,239853,0,,S,male,Alone
0,279,3,7,4,1,382652,29.125,,Q,child,With Family
1,280,3,35,1,1,C.A. 2673,20.25,,S,female,With Family
0,281,3,65,0,0,336439,7.75,,Q,male,Alone
0,282,3,28,0,0,347464,7.8542,,S,male,Alone
0,283,3,16,0,0,345778,9.5,,S,male,Alone
1,284,3,19,0,0,A/5. 10482,8.05,,S,male,Alone
0,285,1,,0,0,113056,26,A19,S,male,Alone
0,286,3,33,0,0,349239,8.6625,,C,male,Alone
1,287,3,30,0,0,345774,9.5,,S,male,Alone
0,288,3,22,0,0,349206,7.8958,,S,male,Alone
1,289,2,42,0,0,237798,13,,S,male,Alone
1,290,3,22,0,0,370373,7.75,,Q,female,Alone
1,291,1,26,0,0,19877,78.85,,S,female,Alone
1,292,1,19,1,0,11967,91.0792,B49,C,female,With Family
0,293,2,36,0,0,SC/Paris 2163,12.875,D,C,male,Alone
0,294,3,24,0,0,349236,8.85,,S,female,Alone
0,295,3,24,0,0,349233,7.8958,,S,male,Alone
0,296,1,,0,0,PC 17612,27.7208,,C,male,Alone
0,297,3,23.5,0,0,2693,7.2292,,C,male,Alone
0,298,1,2,1,2,113781,151.55,C22 C26,S,child,With Family
1,299,1,,0,0,19988,30.5,C106,S,male,Alone
1,300,1,50,0,1,PC 17558,247.5208,B58 B60,C,female,With Family
1,301,3,,0,0,9234,7.75,,Q,female,Alone
1,302,3,,2,0,367226,23.25,,Q,male,With Family
0,303,3,19,0,0,LINE,0,,S,male,Alone
1,304,2,,0,0,226593,12.35,E101,Q,female,Alone
0,305,3,,0,0,A/5 2466,8.05,,S,male,Alone
1,306,1,0.92,1,2,113781,151.55,C22 C26,S,child,With Family
1,307,1,,0,0,17421,110.8833,,C,female,Alone
1,308,1,17,1,0,PC 17758,108.9,C65,C,female,With Family
0,309,2,30,1,0,P/PP 3381,24,,C,male,With Family
1,310,1,30,0,0,PC 17485,56.9292,E36,C,female,Alone
1,311,1,24,0,0,11767,83.1583,C54,C,female,Alone
1,312,1,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C,female,With Family
0,313,2,26,1,1,250651,26,,S,female,With Family
0,314,3,28,0,0,349243,7.8958,,S,male,Alone
0,315,2,43,1,1,F.C.C. 13529,26.25,,S,male,With Family
1,316,3,26,0,0,347470,7.8542,,S,female,Alone
1,317,2,24,1,0,244367,26,,S,female,With Family
0,318,2,54,0,0,29011,14,,S,male,Alone
1,319,1,31,0,2,36928,164.8667,C7,S,female,With Family
1,320,1,40,1,1,16966,134.5,E34,C,female,With Family
0,321,3,22,0,0,A/5 21172,7.25,,S,male,Alone
0,322,3,27,0,0,349219,7.8958,,S,male,Alone
1,323,2,30,0,0,234818,12.35,,Q,female,Alone
1,324,2,22,1,1,248738,29,,S,female,With Family
0,325,3,,8,2,CA. 2343,69.55,,S,male,With Family
1,326,1,36,0,0,PC 17760,135.6333,C32,C,female,Alone
0,327,3,61,0,0,345364,6.2375,,S,male,Alone
1,328,2,36,0,0,28551,13,D,S,female,Alone
1,329,3,31,1,1,363291,20.525,,S,female,With Family
1,330,1,16,0,1,111361,57.9792,B18,C,female,With Family
1,331,3,,2,0,367226,23.25,,Q,female,With Family
0,332,1,45.5,0,0,113043,28.5,C124,S,male,Alone
0,333,1,38,0,1,PC 17582,153.4625,C91,S,male,With Family
0,334,3,16,2,0,345764,18,,S,male,With Family
1,335,1,,1,0,PC 17611,133.65,,S,female,With Family
0,336,3,,0,0,349225,7.8958,,S,male,Alone
0,337,1,29,1,0,113776,66.6,C2,S,male,With Family
1,338,1,41,0,0,16966,134.5,E40,C,female,Alone
1,339,3,45,0,0,7598,8.05,,S,male,Alone
0,340,1,45,0,0,113784,35.5,T,S,male,Alone
1,341,2,2,1,1,230080,26,F2,S,child,With Family
1,342,1,24,3,2,19950,263,C23 C25 C27,S,female,With Family
0,343,2,28,0,0,248740,13,,S,male,Alone
0,344,2,25,0,0,244361,13,,S,male,Alone
0,345,2,36,0,0,229236,13,,S,male,Alone
1,346,2,24,0,0,248733,13,F33,S,female,Alone
1,347,2,40,0,0,31418,13,,S,female,Alone
1,348,3,,1,0,386525,16.1,,S,female,With Family
1,349,3,3,1,1,C.A. 37671,15.9,,S,child,With Family
0,350,3,42,0,0,315088,8.6625,,S,male,Alone
0,351,3,23,0,0,7267,9.225,,S,male,Alone
0,352,1,,0,0,113510,35,C128,S,male,Alone
0,353,3,15,1,1,2695,7.2292,,C,child,With Family
0,354,3,25,1,0,349237,17.8,,S,male,With Family
0,355,3,,0,0,2647,7.225,,C,male,Alone
0,356,3,28,0,0,345783,9.5,,S,male,Alone
1,357,1,22,0,1,113505,55,E33,S,female,With Family
0,358,2,38,0,0,237671,13,,S,female,Alone
1,359,3,,0,0,330931,7.8792,,Q,female,Alone
1,360,3,,0,0,330980,7.8792,,Q,female,Alone
0,361,3,40,1,4,347088,27.9,,S,male,With Family
0,362,2,29,1,0,SC/PARIS 2167,27.7208,,C,male,With Family
0,363,3,45,0,1,2691,14.4542,,C,female,With Family
0,364,3,35,0,0,SOTON/O.Q. 3101310,7.05,,S,male,Alone
0,365,3,,1,0,370365,15.5,,Q,male,With Family
0,366,3,30,0,0,C 7076,7.25,,S,male,Alone
1,367,1,60,1,0,110813,75.25,D37,C,female,With Family
1,368,3,,0,0,2626,7.2292,,C,female,Alone
1,369,3,,0,0,14313,7.75,,Q,female,Alone
1,370,1,24,0,0,PC 17477,69.3,B35,C,female,Alone
1,371,1,25,1,0,11765,55.4417,E50,C,male,With Family
0,372,3,18,1,0,3101267,6.4958,,S,male,With Family
0,373,3,19,0,0,323951,8.05,,S,male,Alone
0,374,1,22,0,0,PC 17760,135.6333,,C,male,Alone
0,375,3,3,3,1,349909,21.075,,S,child,With Family
1,376,1,,1,0,PC 17604,82.1708,,C,female,With Family
1,377,3,22,0,0,C 7077,7.25,,S,female,Alone
0,378,1,27,0,2,113503,211.5,C82,C,male,With Family
0,379,3,20,0,0,2648,4.0125,,C,male,Alone
0,380,3,19,0,0,347069,7.775,,S,male,Alone
1,381,1,42,0,0,PC 17757,227.525,,C,female,Alone
1,382,3,1,0,2,2653,15.7417,,C,child,With Family
0,383,3,32,0,0,STON/O 2. 3101293,7.925,,S,male,Alone
1,384,1,35,1,0,113789,52,,S,female,With Family
0,385,3,,0,0,349227,7.8958,,S,male,Alone
0,386,2,18,0,0,S.O.C. 14879,73.5,,S,male,Alone
0,387,3,1,5,2,CA 2144,46.9,,S,child,With Family
1,388,2,36,0,0,27849,13,,S,female,Alone
0,389,3,,0,0,367655,7.7292,,Q,male,Alone
1,390,2,17,0,0,SC 1748,12,,C,female,Alone
1,391,1,36,1,2,113760,120,B96 B98,S,male,With Family
1,392,3,21,0,0,350034,7.7958,,S,male,Alone
0,393,3,28,2,0,3101277,7.925,,S,male,With Family
1,394,1,23,1,0,35273,113.275,D36,C,female,With Family
1,395,3,24,0,2,PP 9549,16.7,G6,S,female,With Family
0,396,3,22,0,0,350052,7.7958,,S,male,Alone
0,397,3,31,0,0,350407,7.8542,,S,female,Alone
0,398,2,46,0,0,28403,26,,S,male,Alone
0,399,2,23,0,0,244278,10.5,,S,male,Alone
1,400,2,28,0,0,240929,12.65,,S,female,Alone
1,401,3,39,0,0,STON/O 2. 3101289,7.925,,S,male,Alone
0,402,3,26,0,0,341826,8.05,,S,male,Alone
0,403,3,21,1,0,4137,9.825,,S,female,With Family
0,404,3,28,1,0,STON/O2. 3101279,15.85,,S,male,With Family
0,405,3,20,0,0,315096,8.6625,,S,female,Alone
0,406,2,34,1,0,28664,21,,S,male,With Family
0,407,3,51,0,0,347064,7.75,,S,male,Alone
1,408,2,3,1,1,29106,18.75,,S,child,With Family
0,409,3,21,0,0,312992,7.775,,S,male,Alone
0,410,3,,3,1,4133,25.4667,,S,female,With Family
0,411,3,,0,0,349222,7.8958,,S,male,Alone
0,412,3,,0,0,394140,6.8583,,Q,male,Alone
1,413,1,33,1,0,19928,90,C78,Q,female,With Family
0,414,2,,0,0,239853,0,,S,male,Alone
1,415,3,44,0,0,STON/O 2. 3101269,7.925,,S,male,Alone
0,416,3,,0,0,343095,8.05,,S,female,Alone
1,417,2,34,1,1,28220,32.5,,S,female,With Family
1,418,2,18,0,2,250652,13,,S,female,With Family
0,419,2,30,0,0,28228,13,,S,male,Alone
0,420,3,10,0,2,345773,24.15,,S,child,With Family
0,421,3,,0,0,349254,7.8958,,C,male,Alone
0,422,3,21,0,0,A/5. 13032,7.7333,,Q,male,Alone
0,423,3,29,0,0,315082,7.875,,S,male,Alone
0,424,3,28,1,1,347080,14.4,,S,female,With Family
0,425,3,18,1,1,370129,20.2125,,S,male,With Family
0,426,3,,0,0,A/4. 34244,7.25,,S,male,Alone
1,427,2,28,1,0,2003,26,,S,female,With Family
1,428,2,19,0,0,250655,26,,S,female,Alone
0,429,3,,0,0,364851,7.75,,Q,male,Alone
1,430,3,32,0,0,SOTON/O.Q. 392078,8.05,E10,S,male,Alone
1,431,1,28,0,0,110564,26.55,C52,S,male,Alone
1,432,3,,1,0,376564,16.1,,S,female,With Family
1,433,2,42,1,0,SC/AH 3085,26,,S,female,With Family
0,434,3,17,0,0,STON/O 2. 3101274,7.125,,S,male,Alone
0,435,1,50,1,0,13507,55.9,E44,S,male,With Family
1,436,1,14,1,2,113760,120,B96 B98,S,child,With Family
0,437,3,21,2,2,W./C. 6608,34.375,,S,female,With Family
1,438,2,24,2,3,29106,18.75,,S,female,With Family
0,439,1,64,1,4,19950,263,C23 C25 C27,S,male,With Family
0,440,2,31,0,0,C.A. 18723,10.5,,S,male,Alone
1,441,2,45,1,1,F.C.C. 13529,26.25,,S,female,With Family
0,442,3,20,0,0,345769,9.5,,S,male,Alone
0,443,3,25,1,0,347076,7.775,,S,male,With Family
1,444,2,28,0,0,230434,13,,S,female,Alone
1,445,3,,0,0,65306,8.1125,,S,male,Alone
1,446,1,4,0,2,33638,81.8583,A34,S,child,With Family
1,447,2,13,0,1,250644,19.5,,S,child,With Family
1,448,1,34,0,0,113794,26.55,,S,male,Alone
1,449,3,5,2,1,2666,19.2583,,C,child,With Family
1,450,1,52,0,0,113786,30.5,C104,S,male,Alone
0,451,2,36,1,2,C.A. 34651,27.75,,S,male,With Family
0,452,3,,1,0,65303,19.9667,,S,male,With Family
0,453,1,30,0,0,113051,27.75,C111,C,male,Alone
1,454,1,49,1,0,17453,89.1042,C92,C,male,With Family
0,455,3,,0,0,A/5 2817,8.05,,S,male,Alone
1,456,3,29,0,0,349240,7.8958,,C,male,Alone
0,457,1,65,0,0,13509,26.55,E38,S,male,Alone
1,458,1,,1,0,17464,51.8625,D21,S,female,With Family
1,459,2,50,0,0,F.C.C. 13531,10.5,,S,female,Alone
0,460,3,,0,0,371060,7.75,,Q,male,Alone
1,461,1,48,0,0,19952,26.55,E12,S,male,Alone
0,462,3,34,0,0,364506,8.05,,S,male,Alone
0,463,1,47,0,0,111320,38.5,E63,S,male,Alone
0,464,2,48,0,0,234360,13,,S,male,Alone
